"ComputerName";"Logfile";"EventType";"SourceName";"TimeWritten";"EventCode"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"05.05.2012 10:55:14";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"04.05.2012 13:04:51";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"03.05.2012 13:36:34";"4356"
"VHV_CARCHIVE";"Application";"ошибка";".NET Runtime Optimization Service";"03.05.2012 13:31:36";"1103"
"VHV_CARCHIVE";"Application";"предупреждение";"ASP.NET 2.0.50727.0";"03.05.2012 13:17:43";"1020"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"03.05.2012 8:04:06";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"02.05.2012 7:53:44";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"28.04.2012 8:03:32";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"27.04.2012 13:58:08";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"10.05.2012 8:06:01";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:16:05";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:16:05";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:16:06";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:16:06";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"ASP.NET 2.0.50727.0";"10.05.2012 9:29:25";"1020"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:31:30";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:31:30";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:31:30";"0"
"VHV_CARCHIVE";"Application";"предупреждение";"System.ServiceModel.Install 3.0.0.0";"10.05.2012 9:31:30";"0"
"VHV_CARCHIVE";"Application";"ошибка";".NET Runtime Optimization Service";"10.05.2012 9:38:00";"1103"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"10.05.2012 9:38:27";"4356"
"VHV_CARCHIVE";"Application";"предупреждение";"EventSystem";"11.05.2012 8:05:19";"4356"
